Field,Field Name,Type,Width,Dec,Index
1,HOUSEID,Numeric,8,,
2,PERSONID,Numeric,4,,
3,PROXY,Character,2,,
4,R_AGEFLG,Character,2,,
5,REF_ROST,Numeric,4,,
6,R_AGE,Numeric,4,,
7,R_SEX,Character,2,,
8,R_RELAT,Character,2,,
9,DRIVER,Character,2,,
10,DTCONJ,Character,2,,
11,DTPAVE,Character,2,,
12,DTNTFMLR,Character,2,,
13,DTACDT,Character,2,,
14,DTWALK,Character,2,,
15,DTPOLLTN,Character,2,,
16,DTTIEUP,Character,2,,
17,DTSTRTS,Character,2,,
18,DTCRIME,Character,2,,
19,PTUSED,Character,2,,
20,PTCROWD,Character,2,,
21,PTTIMEON,Character,2,,
22,PTNTCLN,Character,2,,
23,PTCRIME,Character,2,,
24,PTTRANSF,Character,2,,
25,PTCOST,Character,2,,
26,PTTMND,Character,2,,
27,PTCARND,Character,2,,
28,FQSTBELT,Character,2,,
29,NSBFGET,Character,2,,
30,NSBBROKE,Character,2,,
31,NSBSHORT,Character,2,,
32,NSBLONG,Character,2,,
33,NSBBACK,Character,2,,
34,NSBPSNG,Character,2,,
35,NSBDRVR,Character,2,,
36,NSBSPVEH,Character,2,,
37,NSBTOWN,Character,2,,
38,NSBSPPER,Character,2,,
39,NSBOTHER,Character,2,,
40,NSBHURRY,Character,2,,
41,NSBSPCLH,Character,2,,
42,NSBNOASK,Character,2,,
43,NSBMED,Character,2,,
44,NSBNLIKE,Character,2,,
45,NSBTOWRK,Character,2,,
46,NSBPOLIC,Character,2,,
47,NSBWTHR,Character,2,,
48,YEARMILE,Numeric,6,,
49,YMILEFLG,Character,2,,
50,EDUC,Character,2,,
51,JOBLSTWK,Character,2,,
52,GT1JBLWK,Character,2,,
53,WORKSTAT,Character,2,,
54,DISTTOWK,Numeric,14,2,
55,UNITDIST,Character,2,,
56,TIMELEAV,Numeric,4,,
57,TIMETOWK,Numeric,4,,
58,WKBYAUTO,Character,2,,
59,WKBYVAN,Character,2,,
60,WKBYUV,Character,2,,
61,WKBYTRUK,Character,2,,
62,WKBYOTTK,Character,2,,
63,WKBYRV,Character,2,,
64,WKBYMCYC,Character,2,,
65,WKBYOPOV,Character,2,,
66,WKBYBUS,Character,2,,
67,WKBYAMTR,Character,2,,
68,WKBYTRAN,Character,2,,
