Field,Field Name,Type,Width,Dec,Nulls,Start,End
1,HOUSEID,Numeric,8,,No,1,8
2,PROXY,Character,2,,No,9,10
3,R_AGE,Numeric,4,,No,11,14
4,R_SEX,Character,2,,No,15,16
5,CENSUS_D,Character,2,,No,17,18
6,CENSUS_R,Character,2,,No,19,20
7,WORKER,Character,2,,No,21,22
8,DRIVER,Character,2,,No,23,24
9,HHVEHCNT,Numeric,4,,No,25,28
10,HOWFARU,Character,2,,No,29,30
11,MSASIZE,Character,2,,No,31,32
12,TRPNUM,Numeric,4,,No,33,36
13,HHTRIPID,Numeric,4,,No,37,40
14,PERSONID,Numeric,4,,No,41,44
15,SEG1TIME,Numeric,5,,No,45,49
16,SEG1TRAN,Character,2,,No,50,51
17,SEG1_MIN,Numeric,5,,No,52,56
18,SEG2TIME,Numeric,5,,No,57,61
19,SEG2TRAN,Character,2,,No,62,63
20,SEG2_MIN,Numeric,5,,No,64,68
21,SEG3TIME,Numeric,5,,No,69,73
22,SEG3TRAN,Character,2,,No,74,75
23,SEG3_MIN,Numeric,5,,No,76,80
24,SEG4TIME,Numeric,5,,No,81,85
25,SEG4TRAN,Character,2,,No,86,87
26,SEG4_MIN,Numeric,5,,No,88,92
27,SEGNUM,Character,1,,No,93,93
28,STRTTIME,Numeric,5,,No,94,98
29,TRANSFER,Character,2,,No,99,100
30,TRPMILES,Numeric,14,2,No,101,114
31,TRPTRANS,Character,2,,No,115,116
32,TRVL_MIN,Numeric,5,,No,117,121
33,VARSTRAT,Numeric,4,,No,122,125
34,WHYTRP95,Character,2,,No,126,127
35,WTTRDFIN,Numeric,14,2,No,128,141
36,DRVRCNT,Numeric,4,,No,142,145
37,HHFAMINC,Character,2,,No,146,147
38,HHSIZE,Numeric,4,,No,148,151
39,HH_HISP,Character,2,,No,152,153
40,HH_RACE,Character,2,,No,154,155
41,LIF_CYC,Character,2,,No,156,157
42,HHMSA,Character,4,,No,158,161
43,RAIL,Character,2,,No,162,163
44,TDAY_MON,Numeric,4,,No,164,167
45,TDAY_YR,Numeric,4,,No,168,171
46,WRKCOUNT,Numeric,4,,No,172,175
47,HHCMSA,Character,4,,No,176,179
48,SUBSTRAT,Numeric,4,,No,180,183
