Field,Field Name,Type,Width,Dec,Index
1,HOUSEID,Numeric,8,,
2,TRAVDAY,Numeric,4,,
3,PROXY,Character,2,,
4,R_AGE,Numeric,4,,
5,R_SEX,Character,2,,
6,CENSUS_D,Character,2,,
7,CENSUS_R,Character,2,,
8,REF_EDUC,Character,2,,
9,INTRVMON,Numeric,4,,
10,INTRVYR,Numeric,4,,
11,WORKER,Character,2,,
12,AWAYHOME,Character,2,,
13,CHAIN,Numeric,4,,
14,CHAINTRP,Numeric,4,,
15,DATEFLG,Character,2,,
16,DAYNIGHT,Character,2,,
17,DIFFDATE,Numeric,4,,
18,DRIVER,Character,2,,
19,DRVR_FLG,Character,2,,
20,EDITMILE,Character,2,,
21,EDITMODE,Character,2,,
22,EDIT_MIN,Character,2,,
23,FROM_A,Character,1,,
24,FRSTHM,Character,2,,
25,HHMEMDRV,Character,2,,
26,HHSIZE,Numeric,4,,
27,VEHID,Numeric,4,,
28,HHVEHCNT,Numeric,4,,
29,HH_ONTRP,Numeric,4,,
30,HOWFARU,Character,2,,
31,DWELTIME,Numeric,5,,
32,MATCH,Numeric,4,,
33,MSASIZE,Character,2,,
34,NONHHACC,Character,2,,
35,NONHHCNT,Numeric,4,,
36,EDITNONH,Character,2,,
37,NUMONTRP,Numeric,4,,
38,PASSPURP,Character,2,,
39,PREVREP,Character,2,,
40,TRPNUM,Numeric,4,,
41,PUBTRANS,Character,2,,
42,SEGMENTD,Character,2,,
43,SITMOST,Character,2,,
44,STANDSIT,Character,2,,
45,TO_B,Character,1,,
46,TRAVWKND,Character,2,,
47,TRPHHACC,Character,2,,
48,TRPHHVEH,Character,2,,
49,TRPNUM_A,Numeric,4,,
50,TRPNUM_B,Numeric,4,,
51,WAIT_MIN,Numeric,5,,
52,WHERE,Character,1,,
53,WHOACC_A,Numeric,4,,
54,WHOACC_B,Numeric,4,,
55,WHOACC_C,Numeric,4,,
56,WHOACC_D,Numeric,4,,
57,WHOACC_E,Numeric,4,,
58,WHOACC_F,Numeric,4,,
59,WHOACC_G,Numeric,4,,
60,WHOACC_H,Numeric,4,,
61,WHOACC_I,Numeric,4,,
62,WHOACC_J,Numeric,4,,
63,WHODROVE,Numeric,4,,
64,WHYFROM,Character,2,,
65,WHYTO,Character,2,,
66,WHYTRP90,Character,2,,
67,OVERLAP,Character,1,,
68,HHTRIPID,Numeric,4,,
69,PERSONID,Numeric,4,,
70,STRTTIME,Numeric,5,,
71,TRANSFER,Character,2,,
72,TRPMILES,Numeric,14,2,
73,TRPTRANS,Character,2,,
74,TRVL_MIN,Numeric,5,,
75,VARSTRAT,Numeric,4,,
76,WHYTRP95,Character,2,,
77,WTTRDFIN,Numeric,14,2,
78,DRVRCNT,Numeric,4,,
79,HHFAMINC,Character,2,,
80,HH_HISP,Character,2,,
81,HH_RACE,Character,2,,
82,LIF_CYC,Character,2,,
83,HHMSA,Character,4,,
84,MSTR_MON,Numeric,4,,
85,MSTR_YR,Numeric,4,,
86,RAIL,Character,2,,
87,REF_AGE,Numeric,4,,
88,REF_SEX,Character,2,,
89,TDAY_MON,Numeric,4,,
90,TDAY_YR,Numeric,4,,
91,WRKCOUNT,Numeric,4,,
92,HHCMSA,Character,4,,
93,VTR_FLG,Character,2,,
94,SUBSTRAT,Numeric,4,,
95,HBPPOPDN,Numeric,7,,
96,HBHUR,Character,1,,
97,HBHRESDN,Numeric,7,,
98,HBHINMED,Numeric,7,,
99,STRTTIM2,Numeric,5,,
100,DAYNGHT2,Character,2,,
101,TRPNUM2,Numeric,4,,
102,DWELSEC2,Numeric,6,,
103,DWELTIM2,Numeric,5,,
104,DWEL2_HM,Character,5,,
